epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,167.771,0.42392,0.7302,1.02807,0.985,0.75,0.74543,0.67089,0.57963,0.96233,1.17096,0.00068,0.00068,0.00068
82,169.818,0.41927,0.69487,1.04556,0.98668,0.75,0.74543,0.62089,0.63613,0.9964,1.26421,0.0006635,0.0006635,0.0006635
83,171.853,0.42281,0.76276,1.08784,0.98668,0.75,0.74543,0.62089,0.63613,0.9964,1.26421,0.000647,0.000647,0.000647
84,173.883,0.43824,0.75854,1.07058,0.98668,0.75,0.74543,0.62089,0.63613,0.9964,1.26421,0.0006305,0.0006305,0.0006305
85,175.903,0.39091,0.66009,1.08709,0.98668,0.75,0.74543,0.62089,0.63613,0.9964,1.26421,0.000614,0.000614,0.000614
86,177.955,0.46335,0.8277,1.15318,0.98645,0.75,0.74543,0.62092,0.65825,1.10291,1.29425,0.0005975,0.0005975,0.0005975
87,179.975,0.43704,0.87658,1.1058,0.98645,0.75,0.74543,0.62092,0.65825,1.10291,1.29425,0.000581,0.000581,0.000581
88,182.006,0.4577,0.72179,1.09879,0.98645,0.75,0.74543,0.62092,0.65825,1.10291,1.29425,0.0005645,0.0005645,0.0005645
89,184.08,0.50955,0.70661,1.05452,0.98645,0.75,0.74543,0.62092,0.65825,1.10291,1.29425,0.000548,0.000548,0.000548
90,186.157,0.4395,0.68979,1.05405,0.98616,0.75,0.74543,0.62089,0.63293,1.10525,1.2689,0.0005315,0.0005315,0.0005315
91,188.186,0.40177,0.67593,0.95284,0.98616,0.75,0.74543,0.62089,0.63293,1.10525,1.2689,0.000515,0.000515,0.000515
92,190.199,0.47814,0.69418,1.0861,0.98616,0.75,0.74543,0.62089,0.63293,1.10525,1.2689,0.0004985,0.0004985,0.0004985
93,192.214,0.41714,0.70195,1.07361,0.98616,0.75,0.74543,0.62089,0.63293,1.10525,1.2689,0.000482,0.000482,0.000482
94,194.253,0.42486,0.65067,1.0254,0.98637,0.75,0.74543,0.63757,0.64261,0.99581,1.24808,0.0004655,0.0004655,0.0004655
95,196.271,0.45179,0.88807,1.04434,0.98637,0.75,0.74543,0.63757,0.64261,0.99581,1.24808,0.000449,0.000449,0.000449
96,198.335,0.37987,0.64154,0.99421,0.98637,0.75,0.74543,0.63757,0.64261,0.99581,1.24808,0.0004325,0.0004325,0.0004325
97,200.8,0.40825,0.66834,1.06374,0.98637,0.75,0.74543,0.63757,0.64261,0.99581,1.24808,0.000416,0.000416,0.000416
98,203.516,0.60577,0.74624,1.33624,0.98668,0.75,0.74543,0.6459,0.70567,0.8986,1.34516,0.0003995,0.0003995,0.0003995
99,205.85,0.3762,0.80015,1.03256,0.98668,0.75,0.74543,0.6459,0.70567,0.8986,1.34516,0.000383,0.000383,0.000383
100,207.984,0.40673,0.64421,0.99966,0.98668,0.75,0.74543,0.6459,0.70567,0.8986,1.34516,0.0003665,0.0003665,0.0003665
101,210.2,0.47625,0.74232,1.16105,0.98668,0.75,0.74543,0.6459,0.70567,0.8986,1.34516,0.00035,0.00035,0.00035
102,212.43,0.42945,0.65562,1.06626,0.98678,0.75,0.74543,0.62092,0.72909,0.93836,1.34758,0.0003335,0.0003335,0.0003335
103,214.641,0.48319,0.70606,1.096,0.98678,0.75,0.74543,0.62092,0.72909,0.93836,1.34758,0.000317,0.000317,0.000317
104,216.775,0.51585,0.73908,1.21515,0.98678,0.75,0.74543,0.62092,0.72909,0.93836,1.34758,0.0003005,0.0003005,0.0003005
105,218.895,0.3974,0.60402,1.02763,0.98678,0.75,0.74543,0.62092,0.72909,0.93836,1.34758,0.000284,0.000284,0.000284
106,221.04,0.5041,0.66992,1.10962,0.98671,0.75,0.74543,0.59593,0.73118,1.01677,1.32043,0.0002675,0.0002675,0.0002675
